"WEBSITE","YEAR","PAGE PATH","PAGE URL","PAGE VIEWS","UNIQUE VIEWS","AVERAGE TIME ON PAGE (SECONDS)","ENTRANCES","BOUNCE RATE (%)","EXIT RATE (%)"
"data.brla.gov","2025","/transportation-and-infrastructure/telecommunication-facility/rxs2-k8q5","http://data.brla.gov/transportation-and-infrastructure/telecommunication-facility/rxs2-k8q5","56","56","6.62","56","0.00","0.00"
"data.brla.gov","2025","/environment/local-historic-overlay-district/tbwy-gkx4","http://data.brla.gov/environment/local-historic-overlay-district/tbwy-gkx4","56","56","4.00","0","0.00","0.00"
"data.brla.gov","2025","/public-safety/legacy-baton-rouge-traffic-incidents-2010-2020-/2tu5-7kif/explore","http://data.brla.gov/public-safety/legacy-baton-rouge-traffic-incidents-2010-2020-/2tu5-7kif/explore","56","56","4.94","0","0.00","0.00"
"data.brla.gov","2025","/environment/local-historic-overlay-district/tbwy-gkx4/about_data","http://data.brla.gov/environment/local-historic-overlay-district/tbwy-gkx4/about_data","56","56","5.00","0","0.00","0.00"
"data.brla.gov","2025","/government/government-agency/9478-pwaa","http://data.brla.gov/government/government-agency/9478-pwaa","56","56","6.97","56","0.00","0.00"
"data.brla.gov","2025","/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7/revisions/58/sources","http://data.brla.gov/public-safety/baton-rouge-police-crime-incidents/pbin-pcm7/revisions/58/sources","56","56","0.00","0","0.00","0.00"
"data.brla.gov","2025","/environment/watershed/bxuh-x6x4/data_preview","http://data.brla.gov/environment/watershed/bxuh-x6x4/data_preview","56","56","6.84","0","0.00","0.00"
"data.brla.gov","2025","/w/ujfw-nv76/default","http://data.brla.gov/w/ujfw-nv76/default","56","56","0.25","56","1.00","1.00"
"data.brla.gov","2025","/stories/s/ykff-2yye","http://data.brla.gov/stories/s/ykff-2yye","56","56","28.80","0","0.00","0.00"
"data.brla.gov","2025","/stories/s/ebrp-crime-type-comparison-chart/dg7i-p7vt/preview","http://data.brla.gov/stories/s/ebrp-crime-type-comparison-chart/dg7i-p7vt/preview","56","56","418.58","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-gate-counts/stfv-hidx/revisions/95/sources","http://data.brla.gov/culture-and-recreation/ebrp-library-gate-counts/stfv-hidx/revisions/95/sources","56","56","10.22","0","0.00","0.00"
"data.brla.gov","2025","/profile/dsgw-c3hi","http://data.brla.gov/profile/dsgw-c3hi","56","56","6.70","0","0.00","0.00"
"data.brla.gov","2025","/d/n9u7-h9i7/visualization","http://data.brla.gov/d/n9u7-h9i7/visualization","56","56","24.62","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-circulation-statistics/m33w-s9q6/revisions/98/sources/338929853/schemas/334377332/output/339244160","http://data.brla.gov/culture-and-recreation/ebrp-library-circulation-statistics/m33w-s9q6/revisions/98/sources/338929853/schemas/334377332/output/339244160","56","56","33.24","0","0.00","0.00"
"data.brla.gov","2025","/public-safety/animal-control-incidents/qmns-hw3s/","http://data.brla.gov/public-safety/animal-control-incidents/qmns-hw3s/","56","56","6.24","56","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/health-care-business/icrw-xqk9","http://data.brla.gov/transportation-and-infrastructure/health-care-business/icrw-xqk9","56","56","5.00","0","0.00","0.00"
"data.brla.gov","2025","/widgets/6fyg-p3r9","http://data.brla.gov/widgets/6fyg-p3r9","56","56","0.25","0","0.00","1.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-computer-usage-stats/3u4i-fz9z","http://data.brla.gov/culture-and-recreation/ebrp-library-computer-usage-stats/3u4i-fz9z","56","56","0.22","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/interstate-exit/qgv6-hgr5/about_data","http://data.brla.gov/transportation-and-infrastructure/interstate-exit/qgv6-hgr5/about_data","56","56","5.95","56","1.00","1.00"
"data.brla.gov","2025","/business-and-financial/sales-tax-collections/wzhh-xrbf/revisions/101/sources/338905580/schemas/334353426/output/339219904","http://data.brla.gov/business-and-financial/sales-tax-collections/wzhh-xrbf/revisions/101/sources/338905580/schemas/334353426/output/339219904","56","56","27.80","0","0.00","0.00"
"data.brla.gov","2025","/housing-and-development/building-footprint/w2dv-n5tp/data_preview","http://data.brla.gov/housing-and-development/building-footprint/w2dv-n5tp/data_preview","56","56","0.25","0","0.00","1.00"
"data.brla.gov","2025","/w/icrw-xqk9/_variation_","http://data.brla.gov/w/icrw-xqk9/_variation_","56","56","14.86","56","0.00","0.00"
"data.brla.gov","2025","/w/3dv4-vdqq/default","http://data.brla.gov/w/3dv4-vdqq/default","56","56","0.25","0","0.00","1.00"
"data.brla.gov","2025","/government/natural-resource-zoning-district/7pv8-25p3/about_data","http://data.brla.gov/government/natural-resource-zoning-district/7pv8-25p3/about_data","56","56","4.01","0","0.00","0.00"
"data.brla.gov","2025","/government/natural-resource-zoning-district/jftt-8brn","http://data.brla.gov/government/natural-resource-zoning-district/jftt-8brn","56","56","21.41","0","0.00","0.00"
"data.brla.gov","2025","/w/6fyg-p3r9/_variation_","http://data.brla.gov/w/6fyg-p3r9/_variation_","56","56","0.25","56","1.00","1.00"
"data.brla.gov","2025","/public-safety/legacy-baton-rouge-police-crime-incidents/fabb-cnnu/explore","http://data.brla.gov/public-safety/legacy-baton-rouge-police-crime-incidents/fabb-cnnu/explore","56","56","5.02","0","0.00","0.00"
"data.brla.gov","2025","/w/pn4q-ta4g/default","http://data.brla.gov/w/pn4q-ta4g/default","56","56","0.25","56","1.00","1.00"
"data.brla.gov","2025","/business-and-financial/sales-tax-collections/wzhh-xrbf/revisions/101/sources","http://data.brla.gov/business-and-financial/sales-tax-collections/wzhh-xrbf/revisions/101/sources","56","56","82.70","0","0.00","0.00"
"data.brla.gov","2025","/government/redevelopment-overlay-district/shut-t697","http://data.brla.gov/government/redevelopment-overlay-district/shut-t697","56","56","1.99","0","0.00","0.00"
"data.brla.gov","2025","/government/central-council-district/thdj-c56d/about_data","http://data.brla.gov/government/central-council-district/thdj-c56d/about_data","56","56","0.25","56","1.00","1.00"
"data.brla.gov","2025","/widgets/vk53-4pr7","http://data.brla.gov/widgets/vk53-4pr7","56","56","0.25","56","1.00","1.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-computer-usage-stats/3u4i-fz9z/revisions/81/sources","http://data.brla.gov/culture-and-recreation/ebrp-library-computer-usage-stats/3u4i-fz9z/revisions/81/sources","56","56","8.71","0","0.00","0.00"
"data.brla.gov","2025","/government/natural-resource-zoning-district/7pv8-25p3","http://data.brla.gov/government/natural-resource-zoning-district/7pv8-25p3","56","56","5.43","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/street-owner/gdm3-tmr2/data_preview","http://data.brla.gov/transportation-and-infrastructure/street-owner/gdm3-tmr2/data_preview","56","56","19.89","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-hotspot-checkout-stats/2vbe-dvdu/revisions/27/sources/346954056/schemas/342263486/output/347242463","http://data.brla.gov/culture-and-recreation/ebrp-library-hotspot-checkout-stats/2vbe-dvdu/revisions/27/sources/346954056/schemas/342263486/output/347242463","54","54","26.67","0","0.00","0.00"
"data.brla.gov","2025","/government/downtown-development-district/q4xd-8nau","http://data.brla.gov/government/downtown-development-district/q4xd-8nau","54","54","6.21","54","0.00","0.00"
"data.brla.gov","2025","/w/q7v5-ijjg/default","http://data.brla.gov/w/q7v5-ijjg/default","54","54","0.25","54","1.00","1.00"
"data.brla.gov","2025","/culture-and-recreation/brec-park/7j6g-4hxu/about_data","http://data.brla.gov/culture-and-recreation/brec-park/7j6g-4hxu/about_data","54","54","0.25","0","0.00","1.00"
"data.brla.gov","2025","/transportation-and-infrastructure/public-safety-facility/h667-2xhn","http://data.brla.gov/transportation-and-infrastructure/public-safety-facility/h667-2xhn","54","54","5.22","0","0.00","0.00"
"data.brla.gov","2025","/w/wtig-th7z/default","http://data.brla.gov/w/wtig-th7z/default","54","54","0.25","54","1.00","1.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-hotspot-checkout-stats/2vbe-dvdu/revisions/27/sources","http://data.brla.gov/culture-and-recreation/ebrp-library-hotspot-checkout-stats/2vbe-dvdu/revisions/27/sources","54","54","37.03","0","0.00","0.00"
"data.brla.gov","2025","/public-safety/police-district/iesm-9rwj/data_preview","http://data.brla.gov/public-safety/police-district/iesm-9rwj/data_preview","54","54","36.74","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-gate-counts/stfv-hidx/revisions/98/sources/346949275/schemas/342258863/output/347237608","http://data.brla.gov/culture-and-recreation/ebrp-library-gate-counts/stfv-hidx/revisions/98/sources/346949275/schemas/342258863/output/347237608","54","54","37.65","0","0.00","0.00"
"data.brla.gov","2025","/public-safety/animal-control-incidents/qmns-hw3s/revisions/2/sources/346916706/schemas/342226996/output/347204943","http://data.brla.gov/public-safety/animal-control-incidents/qmns-hw3s/revisions/2/sources/346916706/schemas/342226996/output/347204943","54","54","8.14","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-wifi-usage-stats/mtjw-7y57/revisions/34/sources/346950855/schemas/342260381/output/347239241","http://data.brla.gov/culture-and-recreation/ebrp-library-wifi-usage-stats/mtjw-7y57/revisions/34/sources/346950855/schemas/342260381/output/347239241","54","54","85.71","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-hotspot-checkout-stats/2vbe-dvdu/revisions/28/sources/346955572/schemas/342264985/output/347243989","http://data.brla.gov/culture-and-recreation/ebrp-library-hotspot-checkout-stats/2vbe-dvdu/revisions/28/sources/346955572/schemas/342264985/output/347243989","54","54","1,500.43","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-computer-usage-stats/3u4i-fz9z/revisions/82/sources","http://data.brla.gov/culture-and-recreation/ebrp-library-computer-usage-stats/3u4i-fz9z/revisions/82/sources","54","54","9.62","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-circulation-statistics/m33w-s9q6/revisions/99/sources/346945774/schemas/342255451/output/347234012","http://data.brla.gov/culture-and-recreation/ebrp-library-circulation-statistics/m33w-s9q6/revisions/99/sources/346945774/schemas/342255451/output/347234012","54","54","23.99","0","0.00","0.00"
"data.brla.gov","2025","/government/polling-place/rcec-y7ta","http://data.brla.gov/government/polling-place/rcec-y7ta","54","54","0.25","0","0.00","1.00"
"data.brla.gov","2025","/business-and-financial/sales-tax-collections/wzhh-xrbf/revisions/102/sources","http://data.brla.gov/business-and-financial/sales-tax-collections/wzhh-xrbf/revisions/102/sources","54","54","18.69","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/brec-park/7j6g-4hxu","http://data.brla.gov/culture-and-recreation/brec-park/7j6g-4hxu","54","54","4.82","0","0.00","0.00"
"data.brla.gov","2025","/government/open-checkbook-br-background-image/t49n-cj3n/about_data","http://data.brla.gov/government/open-checkbook-br-background-image/t49n-cj3n/about_data","54","54","0.25","0","0.00","1.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-circulation-statistics/m33w-s9q6/revisions/99/sources","http://data.brla.gov/culture-and-recreation/ebrp-library-circulation-statistics/m33w-s9q6/revisions/99/sources","54","54","11.49","0","0.00","0.00"
"data.brla.gov","2025","/widgets/2tu5-7kif","http://data.brla.gov/widgets/2tu5-7kif","54","54","0.25","54","1.00","1.00"
"data.brla.gov","2025","/transportation-and-infrastructure/tiger-trails-routes/t8sv-qiry","http://data.brla.gov/transportation-and-infrastructure/tiger-trails-routes/t8sv-qiry","54","54","5.00","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/public-safety-facility/h667-2xhn/about_data","http://data.brla.gov/transportation-and-infrastructure/public-safety-facility/h667-2xhn/about_data","54","54","14.10","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-gate-counts/stfv-hidx/revisions/99/sources/346949414/schemas/342258997/output/347237753","http://data.brla.gov/culture-and-recreation/ebrp-library-gate-counts/stfv-hidx/revisions/99/sources/346949414/schemas/342258997/output/347237753","54","54","54.87","0","0.00","0.00"
"data.brla.gov","2025","/transportation/traffic-crash-incidents/c6kd-6hp6","http://data.brla.gov/transportation/traffic-crash-incidents/c6kd-6hp6","54","54","11.08","54","0.00","0.00"
"data.brla.gov","2025","/government/downtown-development-district/q4xd-8nau/about_data","http://data.brla.gov/government/downtown-development-district/q4xd-8nau/about_data","54","54","0.25","0","0.00","1.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-circulation-statistics/m33w-s9q6/revisions/100/sources/346946295/schemas/342255949/output/347234523","http://data.brla.gov/culture-and-recreation/ebrp-library-circulation-statistics/m33w-s9q6/revisions/100/sources/346946295/schemas/342255949/output/347234523","54","54","319.60","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-gate-counts/stfv-hidx/revisions/98/sources","http://data.brla.gov/culture-and-recreation/ebrp-library-gate-counts/stfv-hidx/revisions/98/sources","54","54","10.25","0","0.00","0.00"
"data.brla.gov","2025","/business-and-financial/sales-tax-collections/wzhh-xrbf/revisions/102/sources/346230500/schemas/341557116/output/346521311","http://data.brla.gov/business-and-financial/sales-tax-collections/wzhh-xrbf/revisions/102/sources/346230500/schemas/341557116/output/346521311","54","54","14.73","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/tiger-trails-routes/t8sv-qiry/about_data","http://data.brla.gov/transportation-and-infrastructure/tiger-trails-routes/t8sv-qiry/about_data","54","54","12.51","0","0.00","0.00"
"data.brla.gov","2025","/government/open-checkbook-br-background-image/t49n-cj3n","http://data.brla.gov/government/open-checkbook-br-background-image/t49n-cj3n","54","54","7.15","54","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-wifi-usage-stats/mtjw-7y57/revisions/34/sources","http://data.brla.gov/culture-and-recreation/ebrp-library-wifi-usage-stats/mtjw-7y57/revisions/34/sources","54","54","6.95","0","0.00","0.00"
"data.brla.gov","2025","/culture-and-recreation/ebrp-library-computer-usage-stats/3u4i-fz9z/revisions/82/sources/346952595/schemas/342262077/output/347241026","http://data.brla.gov/culture-and-recreation/ebrp-library-computer-usage-stats/3u4i-fz9z/revisions/82/sources/346952595/schemas/342262077/output/347241026","54","54","36.57","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/btr-passenger-stats-by-airline-per-year/6p99-4t7p","http://data.brla.gov/transportation-and-infrastructure/btr-passenger-stats-by-airline-per-year/6p99-4t7p","54","54","71.36","0","0.00","0.00"
"data.brla.gov","2025","/dataset/category_tiles/ug93-d9mt/about_data","http://data.brla.gov/dataset/category_tiles/ug93-d9mt/about_data","52","52","3.01","0","1.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/traffic-signal/itzf-d8pn/","http://data.brla.gov/transportation-and-infrastructure/traffic-signal/itzf-d8pn/","52","52","6.06","52","0.35","0.35"
"data.brla.gov","2025","/dataset/category_tiles/ug93-d9mt","http://data.brla.gov/dataset/category_tiles/ug93-d9mt","52","52","5.01","0","1.00","0.00"
"data.brla.gov","2025","/dataset/category_tiles/ug93-d9mt/data_preview","http://data.brla.gov/dataset/category_tiles/ug93-d9mt/data_preview","52","52","0.19","0","1.00","0.00"
"data.brla.gov","2025","/housing-and-development/existing-land-use/u7dr-94zn","http://data.brla.gov/housing-and-development/existing-land-use/u7dr-94zn","52","52","7.85","29","0.16","0.31"
"data.brla.gov","2025","/widgets/e5pk-us93","http://data.brla.gov/widgets/e5pk-us93","52","52","0.25","0","0.00","1.00"
"data.brla.gov","2025","/housing-and-development/existing-land-use/u7dr-94zn/about_data","http://data.brla.gov/housing-and-development/existing-land-use/u7dr-94zn/about_data","52","52","10.94","0","0.00","0.31"
"data.brla.gov","2025","/government/city-parish-revenue-budget/4kxx-65v6/explore","http://data.brla.gov/government/city-parish-revenue-budget/4kxx-65v6/explore","52","52","5.01","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/railroad/g6kg-aimb","http://data.brla.gov/transportation-and-infrastructure/railroad/g6kg-aimb","50","50","38.02","0","0.00","0.00"
"data.brla.gov","2025","/t","http://data.brla.gov/t","50","50","5.30","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/medical-clinic/8gcn-upcq","http://data.brla.gov/transportation-and-infrastructure/medical-clinic/8gcn-upcq","50","50","8.96","50","0.36","0.36"
"data.brla.gov","2025","/housing-and-development/public-land-survey-system/5i2z-eb5u/explore","http://data.brla.gov/housing-and-development/public-land-survey-system/5i2z-eb5u/explore","50","50","4.95","0","0.00","0.00"
"data.brla.gov","2025","/government/city-limits/vr2w-xizt","http://data.brla.gov/government/city-limits/vr2w-xizt","50","50","0.25","0","0.00","1.00"
"data.brla.gov","2025","/transportation-and-infrastructure/street-sign/t5nm-qifn","http://data.brla.gov/transportation-and-infrastructure/street-sign/t5nm-qifn","50","50","0.25","0","0.00","1.00"
"data.brla.gov","2025","/government/2021-purchase-orders/c6zn-g33m/data_preview","http://data.brla.gov/government/2021-purchase-orders/c6zn-g33m/data_preview","50","50","0.00","0","0.00","1.00"
"data.brla.gov","2025","/environment/watershed/kk7u-5yah","http://data.brla.gov/environment/watershed/kk7u-5yah","50","50","5.49","0","0.00","0.00"
"data.brla.gov","2025","/government/barricade-service-area/6szy-fxcg","http://data.brla.gov/government/barricade-service-area/6szy-fxcg","50","50","6.48","50","0.00","0.00"
"data.brla.gov","2025","/government/legacy-purchase-orders-timeline-chart/x3z8-ktxu","http://data.brla.gov/government/legacy-purchase-orders-timeline-chart/x3z8-ktxu","50","25","7.71","0","0.00","1.00"
"data.brla.gov","2025","/environment/conveyance_zones/qwrb-mchd/related_content","http://data.brla.gov/environment/conveyance_zones/qwrb-mchd/related_content","50","50","15.48","0","0.00","0.00"
"data.brla.gov","2025","/government/open-checkbook-br-logo-small-white/dt25-qdzz","http://data.brla.gov/government/open-checkbook-br-logo-small-white/dt25-qdzz","50","50","0.25","50","1.00","1.00"
"data.brla.gov","2025","/transportation-and-infrastructure/telecommunication-facility/bgsi-i722","http://data.brla.gov/transportation-and-infrastructure/telecommunication-facility/bgsi-i722","50","50","6.98","0","0.00","0.00"
"data.brla.gov","2025","/profile/w4g6-2q2g","http://data.brla.gov/profile/w4g6-2q2g","50","50","9.56","0","1.00","0.00"
"data.brla.gov","2025","/dataset/baton-rouge-logo/7v4j-8tn9/about_data","http://data.brla.gov/dataset/baton-rouge-logo/7v4j-8tn9/about_data","50","50","8.15","0","0.00","0.00"
"data.brla.gov","2025","/government/barricade-service-area/6szy-fxcg/about_data","http://data.brla.gov/government/barricade-service-area/6szy-fxcg/about_data","50","50","0.25","0","0.00","1.00"
"data.brla.gov","2025","/profile/mxcs-3zgb","http://data.brla.gov/profile/mxcs-3zgb","50","25","6.31","0","0.00","0.36"
"data.brla.gov","2025","/housing-and-development/census-demographics/xsrb-mxqt/data_preview","http://data.brla.gov/housing-and-development/census-demographics/xsrb-mxqt/data_preview","47","47","0.25","0","0.00","1.00"
"data.brla.gov","2025","/transportation-and-infrastructure/bus-stop/hnjz-rqcd/about_data","http://data.brla.gov/transportation-and-infrastructure/bus-stop/hnjz-rqcd/about_data","47","47","1.81","0","1.00","0.00"
"data.brla.gov","2025","/d/myfc-nh6n/visualization","http://data.brla.gov/d/myfc-nh6n/visualization","47","47","0.25","0","0.00","1.00"
"data.brla.gov","2025","/housing-and-development/mobile-home-park/az26-5c8f/related_content","http://data.brla.gov/housing-and-development/mobile-home-park/az26-5c8f/related_content","47","47","3.77","47","0.00","0.00"
"data.brla.gov","2025","/business-and-financial/enterprise-zone/8hsf-8dd2","http://data.brla.gov/business-and-financial/enterprise-zone/8hsf-8dd2","47","47","6.36","0","0.00","0.00"
"data.brla.gov","2025","/housing-and-development/zoning/i3k4-dq7g","http://data.brla.gov/housing-and-development/zoning/i3k4-dq7g","47","47","53.01","0","0.00","0.00"
"data.brla.gov","2025","/business-and-financial/tax-increment-financing-district/7emk-4vm9","http://data.brla.gov/business-and-financial/tax-increment-financing-district/7emk-4vm9","47","47","7.00","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/bus-stop/hnjz-rqcd","http://data.brla.gov/transportation-and-infrastructure/bus-stop/hnjz-rqcd","47","47","6.00","0","1.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/outdoor-advertising-sign/8gj9-8cf5/about_data","http://data.brla.gov/transportation-and-infrastructure/outdoor-advertising-sign/8gj9-8cf5/about_data","47","47","7.01","0","0.00","0.00"
"data.brla.gov","2025","/public-safety/baton-rouge-fire-department-occupancy-inspections/h453-hp7u/related_content","http://data.brla.gov/public-safety/baton-rouge-fire-department-occupancy-inspections/h453-hp7u/related_content","47","47","5.74","0","0.00","0.00"
"data.brla.gov","2025","/housing-and-development/lot/pvn5-9b7e","http://data.brla.gov/housing-and-development/lot/pvn5-9b7e","47","47","4.01","0","0.00","0.00"
"data.brla.gov","2025","/government/drainage_district/tjyr-sw3m","http://data.brla.gov/government/drainage_district/tjyr-sw3m","47","47","12.54","0","0.00","0.00"
"data.brla.gov","2025","/government/dataset-of-datasets/stfb-qk35/data","http://data.brla.gov/government/dataset-of-datasets/stfb-qk35/data","47","47","4.64","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/outdoor-advertising-sign/8gj9-8cf5","http://data.brla.gov/transportation-and-infrastructure/outdoor-advertising-sign/8gj9-8cf5","47","47","4.89","0","0.00","0.00"
"data.brla.gov","2025","/environment/wetland/rpsc-4k3j","http://data.brla.gov/environment/wetland/rpsc-4k3j","47","47","3.24","0","0.00","0.00"
"data.brla.gov","2025","/d/h453-hp7u/visualization","http://data.brla.gov/d/h453-hp7u/visualization","47","47","223.64","0","0.00","0.00"
"data.brla.gov","2025","/environment/flood-hazard-area/xhtq-6c7v","http://data.brla.gov/environment/flood-hazard-area/xhtq-6c7v","47","47","0.90","0","0.00","0.00"
"data.brla.gov","2025","/transportation-and-infrastructure/outdoor-advertising-sign/i4z6-3jwa","http://data.brla.gov/transportation-and-infrastructure/outdoor-advertising-sign/i4z6-3jwa","47","47","39.45","0","0.00","0.00"
"data.brla.gov","2025","/housing-and-development/zoning/2v82-p7fa/data_preview","http://data.brla.gov/housing-and-development/zoning/2v82-p7fa/data_preview","47","47","0.00","0","0.00","0.00"
"data.brla.gov","2025","/profile/ad6t-qmgh","http://data.brla.gov/profile/ad6t-qmgh","47","47","728.29","0","0.00","0.00"
"data.brla.gov","2025","/government/census-block/bb2s-hh6s/data_preview","http://data.brla.gov/government/census-block/bb2s-hh6s/data_preview","46","23","0.00","0","0.00","0.00"
"data.brla.gov","2025","/government/baker-city-council-district/cyn7-vpxf/data","http://data.brla.gov/government/baker-city-council-district/cyn7-vpxf/data","46","46","4.94","0","0.00","0.00"
"data.brla.gov","2025","/w/ux2t-b9wr/_variation_","http://data.brla.gov/w/ux2t-b9wr/_variation_","46","46","0.25","46","1.00","1.00"
"data.brla.gov","2025","/d/dakq-4sda/visualization","http://data.brla.gov/d/dakq-4sda/visualization","44","44","121.94","0","0.00","0.14"
"data.brla.gov","2025","/business-and-financial/enterprise-zone/g39m-6i82/about_data","http://data.brla.gov/business-and-financial/enterprise-zone/g39m-6i82/about_data","44","44","0.25","0","0.00","1.00"
"data.brla.gov","2025","/public-safety/public-safety-facility/4vkh-8c95","http://data.brla.gov/public-safety/public-safety-facility/4vkh-8c95","44","44","0.25","0","0.00","1.00"
"data.brla.gov","2025","/datasets/business","http://data.brla.gov/datasets/business","44","44","110.48","0","0.00","0.07"
"data.brla.gov","2025","/business-and-financial/abc_license/xhjf-mdnv/related_content","http://data.brla.gov/business-and-financial/abc_license/xhjf-mdnv/related_content","44","44","7.97","44","0.11","0.11"
"data.brla.gov","2025","/environment/base-flood-elevation/wjb2-k4jw/related_content","http://data.brla.gov/environment/base-flood-elevation/wjb2-k4jw/related_content","44","44","2.61","0","0.00","0.07"
"data.brla.gov","2025","/government/school/xj7z-n8pj/about_data","http://data.brla.gov/government/school/xj7z-n8pj/about_data","44","44","1,654.50","0","0.00","0.20"
"data.brla.gov","2025","/dataset/asset-inventory-public-view/ir77-bp8g/about_data","http://data.brla.gov/dataset/asset-inventory-public-view/ir77-bp8g/about_data","44","44","0.14","0","0.00","0.54"
"data.brla.gov","2025","/dataset/asset-inventory-public-view/ir77-bp8g","http://data.brla.gov/dataset/asset-inventory-public-view/ir77-bp8g","44","44","4.86","0","0.00","0.39"
"data.brla.gov","2025","/environment/base-flood-elevation/wjb2-k4jw/data_preview","http://data.brla.gov/environment/base-flood-elevation/wjb2-k4jw/data_preview","44","44","0.00","0","0.00","0.00"
"data.brla.gov","2025","/government/school/xj7z-n8pj","http://data.brla.gov/government/school/xj7z-n8pj","44","44","5.01","0","0.00","0.20"
"data.brla.gov","2025","/business-and-financial/enterprise-zone/g39m-6i82","http://data.brla.gov/business-and-financial/enterprise-zone/g39m-6i82","44","44","15.42","44","0.18","0.18"
"data.brla.gov","2025","/government/copy-of-contracts-50-000-under-by-vendor-count/xusf-fqn8/edit","http://data.brla.gov/government/copy-of-contracts-50-000-under-by-vendor-count/xusf-fqn8/edit","44","44","370.34","0","0.00","0.07"
"data.brla.gov","2025","/government/2025-contracts-less-than-50-000/xvu8-amb5/revisions/0","http://data.brla.gov/government/2025-contracts-less-than-50-000/xvu8-amb5/revisions/0","44","44","49.88","0","0.00","0.07"
"data.brla.gov","2025","/government/2025-contracts-less-than-50-000/xvu8-amb5/revisions/0/metadata/dataset","http://data.brla.gov/government/2025-contracts-less-than-50-000/xvu8-amb5/revisions/0/metadata/dataset","44","44","58.91","0","0.00","0.07"
"data.brla.gov","2025","/government/council-district_2025/785e-vg75/about_data","http://data.brla.gov/government/council-district_2025/785e-vg75/about_data","44","44","264.74","0","0.00","0.07"
"data.brla.gov","2025","/government/copy-of-contracts-50-000-under-by-vendor-count/mexb-agdp/edit","http://data.brla.gov/government/copy-of-contracts-50-000-under-by-vendor-count/mexb-agdp/edit","44","44","13.60","0","0.00","0.07"
"data.brla.gov","2025","/housing-and-development/electrical-permits/tphc-g5mj/explore","http://data.brla.gov/housing-and-development/electrical-permits/tphc-g5mj/explore","44","44","15.76","0","0.00","0.14"
"data.brla.gov","2025","/culture-and-recreation/recreation/n2u4-s8cr","http://data.brla.gov/culture-and-recreation/recreation/n2u4-s8cr","44","44","0.25","0","0.00","1.00"
"data.brla.gov","2025","/housing-and-development/july/nk9u-v77v/revisions/0/soql","http://data.brla.gov/housing-and-development/july/nk9u-v77v/revisions/0/soql","44","44","0.25","0","0.00","1.00"
"data.brla.gov","2025","/d/eyp8-c7wc/visualization","http://data.brla.gov/d/eyp8-c7wc/visualization","44","44","0.25","0","0.00","1.00"
"data.brla.gov","2025","/transportation-and-infrastructure/street-range/fisq-xxsz","http://data.brla.gov/transportation-and-infrastructure/street-range/fisq-xxsz","44","44","0.25","44","1.00","1.00"
"data.brla.gov","2025","/culture-and-recreation/brec-park-amenities/phg8-g77c","http://data.brla.gov/culture-and-recreation/brec-park-amenities/phg8-g77c","44","44","5.00","0","0.00","0.11"
"data.brla.gov","2025","/government/downtown-development-district/ebhr-kac2","http://data.brla.gov/government/downtown-development-district/ebhr-kac2","44","44","0.25","44","1.00","1.00"
"data.brla.gov","2025","/public-safety/brfd-hazmat-incidents/puvg-q6uk/explore","http://data.brla.gov/public-safety/brfd-hazmat-incidents/puvg-q6uk/explore","44","44","5.00","0","0.00","0.18"
"data.brla.gov","2025","/api","http://data.brla.gov/api","44","44","11.91","44","0.20","0.20"
